id,kind,severity,status,area,summary,evidence,candidate_fix_ref,tests,memory_impact,windows_impact,confidence
BUG-001,bug,S2,fixed,JavaFX viewer UI,"Reflect checkbox could stack repeated transforms and clearing removed unrelated transforms.","src/java/billiards/viewer/Viewer.java:468; bug-audit/01-bug-register.md","","Manual reflect toggle test after launch.",low,low,high
BUG-002,bug,S1,fixed,Java wrapper concurrency,"vary3Cpp and vary4Cpp parse native output with parallel stream into plain ArrayList.","src/java/billiards/wrapper/Wrapper.java:621-682","candidate-fixes/BUG-002-003-004-wrapper-cleanup-and-parse.md","Compile passed: .\\gradlew.bat --no-daemon clean compileJava backendSharedLibrary. Still needs stress parse large vary output repeatedly; verify count/order.",medium,medium,high
BUG-003,bug,S1,fixed,JNA native memory,"varyCSCpp/vary3Cpp/vary4Cpp read CString result but never call cleanup_string.","src/java/billiards/wrapper/Wrapper.java:586-682; src/backend/cpp/wrapper.cpp:1230-1307","candidate-fixes/BUG-002-003-004-wrapper-cleanup-and-parse.md","Compile passed: .\\gradlew.bat --no-daemon clean compileJava backendSharedLibrary. Still needs repeated large vary runs with Native Memory Tracking or Process Explorer.",high,medium,high
BUG-004,bug,S2,fixed,JNA native memory,"calculateGradient frees only one CString; calculateGradient2 frees wrong object and leaks cstring2.","src/java/billiards/wrapper/Wrapper.java:549-574; src/backend/cpp/wrapper.cpp:1194-1231","candidate-fixes/BUG-002-003-004-wrapper-cleanup-and-parse.md","Compile passed: .\\gradlew.bat --no-daemon clean compileJava backendSharedLibrary. Still needs repeated gradient calls while watching native memory.",medium,low,high
BUG-005,bug,S2,fixed,Windows Gradle/native build,"Windows Gradle native build needed UCRT64 toolchain/link changes.","build.gradle; bug-audit/01-bug-register.md","","Run .\\gradlew.bat clean run from fresh shell.",low,high,high
BUG-006,bug,S2,needs repro,Runtime/source parity,"HashTriple source/runtime color and memory behavior diverge or are uncertain; Abdul aliases external mutable maps and collapses bulk colors to one defaultColor.","src/java/billiards/viewer/HashTriple.java:14-121; runtime patched HashTriple.class","candidate-fixes/BUG-006-hashtriple-parity.md","Compare cover rendering colors and memory against patched runtime.",medium,low,medium
BUG-007,bug,S1,fixed,JNA native memory,"Large OSNO/all-equation CInfoAll strings are allocated natively and never freed; confirmed in MAIN and Abdul.","src/java/billiards/wrapper/Wrapper.java:160-229,520-544; src/backend/cpp/wrapper.cpp:650-794; MAIN Ghidra/CFR artifacts","candidate-fixes/BUG-007-cinfoall-cleanup.md","Compile passed: .\\gradlew.bat --no-daemon clean compileJava backendSharedLibrary. Still needs large OSNO formula/all-equation run repeated under NMT/Process Explorer.",critical,medium,high
BUG-008,bug,S2,fixed,JNA ABI mapping,"CInfoAll Java field order did not match C++ struct; Java could read/free the wrong native char* fields on all-equation paths.","src/java/billiards/wrapper/CInfoAll.java:16-31; src/backend/headers/wrapper.hpp:29-39; Linux port Project_Improvement_Report.md B1","candidate-fixes/BUG-008-cinfoall-abi-test.md","Compile passed: .\\gradlew.bat --no-daemon compileJava backendSharedLibrary. Still needs runtime ABI slot test and all-equation comparison.",medium,medium,high
BUG-009,bug,S1,fixed,Native cover memory/concurrency,"cover/getEmpties/small_cover return pointers to static std::string buffers that retain largest capacity and are not thread-safe; MAIN runtime has same static symbols.","src/backend/cpp/verify.cpp:531-555,665-761,876-1015; src/backend/cpp/wrapper.cpp:112-180; MAIN Ghidra function index static destructors","candidate-fixes/BUG-009-cover-return-buffer.md","Compile passed: .\\gradlew.bat --no-daemon clean compileJava backendSharedLibrary. Still needs huge cover/not-filled memory run and concurrent cover smoke test.",critical,medium,high
BUG-010,bug,S2,fixed,Java task error handling,"VaryLTask checkStatus takes Optional by value, so ExecutionException does not propagate to caller.","src/java/billiards/viewer/VaryLTask.java:267-315","candidate-fixes/BUG-010-011-task-exception-propagation.md","Compile passed: .\\gradlew.bat --no-daemon compileJava backendSharedLibrary. Still needs forced Database.loadStorage failure inside VaryLTask and assert task fails visibly.",low,low,high
